"email","leadsource","cost"
"email1@gmail.com","search_nonbrand_google","117.85"
"email2@gmail.com","gmailbeta","9.44"
"email3@gmail.com","ForeignPolicyBanner","72.75"
"email4@gmail.com","Direct Apply","0"
"email5@hotmail.com","footprintscplsite","45.3"
"email6@gmail.com","linkedinspcpc","38.93"
"email7@gmail.com","Web","0"
"email8@yahoo.com","Web","0"
"email9@gmail.com","Web","0"
"email10@hotmail.com","linkedinspcpc","114.78"
"email11@icloud.com","Web","0"
"email12@gmail.com","linkedinspcpc","82.86"
"email13@yahoo.com","Web","0"
"email14@gmail.com","Web","0"
"email15@n.a","footprintscplsite","23.87"
"email16@gmail.com","ypfpscholsite","151.44"
"email17@gmail.com","Web","0"
"email18@yahoo.com","search_nonbrand_google","196.06"
"email19@gmail.com","gradschoolsauir","32.55"
"email20@gmail.com","Web","0"
"email21@gmail.com","Web","0"
"email22@yahoo.com","",""
"email23@prodigy.net","linkedincpc","166.15"
"email24@firebirdast.net","linkedinspcpc","114.05"
"email25@yahoo.fr","Web","0"
"email26@gmail.com","search_nonbrand_google","1.56"
"email27@gmail.com","Web","0"
"email28@gmail.com","Webinar","0"
"email29@yahoo.com","Web","0"
"email30@gmail.com","Web","0"
"email31@yahoo.com","Unknown","109.64"
"email32@un.org","Web","0"
"email33@yahoo.com","Web","0"
"email34@gmail.com","Web","0"
"email35@wkkf.org","usnewscollegedegreesauir","50.45"
"email36@gmail.com","gmailbeta","74.21"
"email37@gmail.com","facebookcpc","17.09"
"email38@gmail.com","Web","0"
"email39@gmail.com","Web","0"
"email40@gmail.com","npcasite","56.27"
"email41@gmail.com","Web","0"
"email42@gmail.com","Web","0"
"email43@gmail.com","Web","0"
"email44@live.com","ypfpscholsite","28.42"
"email45@gmail.com","Direct Apply","0"
"email46@gmail.com","gmailbeta","88.05"
"email47@yahoo.com","Web","0"
"email48@gmail.com","Web","0"
"email49@gmail.com","Direct Apply","0"
"email50@yahoo.com","Web","0"
"email51@yahoo.com","Web","0"
"email52@gmail.com","Web","0"
"email53@gmail.com","Web","0"
"email54@yahoo.com","Web","0"
"email55@gmail.com","Web","0"
"email56@gmail.com","Web","0"
"email57@gmail.com","linkedinspcpc","81.85"
"email58@aol.com","facebookcpc","57.06"
"email59@gmail.com","GRE","36.97"
"email60@gmail.com","linkedinspcpc","61.92"
"email61@aol.com","GRE","1.2"
"email62@att.net","Web","0"
"email63@gmail.com","Web","0"
"email64@gmail.com","Web","0"
"email65@gmail.com","facebookcpc","93.88"
"email66@gmail.com","gmailbeta","17.38"
"email67@hotmail.com","Web","0"
"email68@gmail.com","Web","0"
"email69@gmail.com","Web","0"
"email70@web.de","ypfpscholsite","116"
"email71@icloud.com","GRE","191.27"
"email72@gmail.com","Direct Apply","0"
"email73@icloud.com","Web","0"
"email74@aol.com","search_nonbrand_google","93.23"
"email75@gmail.com","Web","0"
"email76@gmail.com","Web","0"
"email77@gmail.com","Web","0"
"email78@gmail.com","Direct Apply","0"
"email79@gmail.com","devexemail","77.46"
"email80@comcast.net","devexemail","4.93"
"email81@gmail.com","devexemail","3.53"
"email82@comcast.net","devexemail","17.3"
"email83@gmail.com","devexemail","30.9"
"email84@yahoo.com","devexemail","15.95"
"email85@gmail.com","devexemail","38.37"
"email86@mac.com","devexemail","44.06"
"email87@gmail.com","devexemail","16.42"
"email88@gmail.com","devexemail","43.31"
"email89@gmail.com","Web","0"
"email90@outlook.com","Webinar","0"
"email91@gmail.com","devexemail","79.43"
"email92@icloud.com","devexemail","57.67"
"email93@gmail.com","Web","0"
"email94@gmail.com","devexemail","38.76"
"email95@yahoo.com","devexemail","1.54"
"email96@gmail.com","facebookcpc","1.96"
"email97@gmail.com","Web","0"
"email98@outlook.com","devexemail","16.33"
"email99@gmail.com","Web","0"
"email100@aol.com","devexemail","6.7"
"email101@yahoo.com","devexemail","56.67"
"email102@gmail.com","GRE","51.8"
"email103@intercrop.org","devexemail","56.97"
"email104@hotmail.com","linkedinspcpc","53.71"
"email105@hhs.gov","devexemail","77.6"
"email106@hotmail.com","linkedinspcpc","41.58"
"email107@gmail.com","gmailbeta","71.28"
"email108@gmail.com","Web","0"
"email109@comcast.net","Web","0"
"email110@aol.com","facebookcpc","31.19"
"email111@gmail.com","Web","0"
"email112@gmail.com","facebookcpc","13.35"
"email113@gmail.com","Web","0"
"email114@yahoo.com","Web","0"
"email115@yahoo.fr","Web","0"
"email116@gmail.com","Web","0"
"email117@yahoo.com","Web","0"
"email118@aol.com","devexemail","125.62"
"email119@gmail.com","Direct Apply","0"
"email120@yahoo.com","Web","0"
"email121@gmail.com","facebookcpc","13.83"
"email122@gmail.com","footprintscplsite","126.02"
"email123@yahoo.com","Web","0"
"email124@gmail.com","Web","0"
"email125@gmail.com","ypfpscholsite","54.21"
"email126@outlook.com","Web","0"
"email127@2u.com","lead.LeadSource","68.47"
"email128@aol.com","search_nonbrand_google","205.17"
"email129@gmail.com","linkedinspcpc","234.8"
"email130@gmail.com","Web","0"
"email131@gmail.com","facebookcpc","50.6"
"email132@verizon.net","Web","0"
"email133@bcps.org","facebookcpc","10.7"
"email134@gmail.com","lead.LeadSource","100.48"
"email135@gmail.com","search_nonbrand_google","150.14"
"email136@gmail.com","gmailbeta","1.64"
"email137@gmail.com","Web","0"
"email138@aol.com","facebookcpc","19.86"
"email139@gmail.com","footprintscplsite","17.72"
"email140@gmail.com","Web","0"
"email141@hotmail.com","Web","0"
"email142@yahoo.com","devexemail","3.88"
"email143@yahoo.fr","Web","0"
